"Ruteflyvninger";"2002M10";895;145;750
"Ruteflyvninger";"2002M11";746;132;614
"Ruteflyvninger";"2002M12";667;108;559
"Ruteflyvninger";"2003M01";640;111;529
"Ruteflyvninger";"2003M02";647;109;538
"Ruteflyvninger";"2003M03";760;124;636
"Ruteflyvninger";"2003M04";759;117;642
"Ruteflyvninger";"2003M05";834;132;701
"Ruteflyvninger";"2003M06";942;131;811
"Ruteflyvninger";"2003M07";856;96;760
"Ruteflyvninger";"2003M08";860;127;733
"Ruteflyvninger";"2003M09";901;143;758
"Ruteflyvninger";"2003M10";894;142;753
"Ruteflyvninger";"2003M11";754;128;626
"Ruteflyvninger";"2003M12";674;103;571
"Ruteflyvninger";"2004M01";654;107;547
"Ruteflyvninger";"2004M02";706;110;596
"Ruteflyvninger";"2004M03";842;134;708
"Ruteflyvninger";"2004M04";847;119;728
"Ruteflyvninger";"2004M05";893;131;762
"Ruteflyvninger";"2004M06";1025;141;884
"Ruteflyvninger";"2004M07";911;99;812
"Ruteflyvninger";"2004M08";893;128;766
"Ruteflyvninger";"2004M09";959;143;817
"Ruteflyvninger";"2004M10";923;133;790
"Ruteflyvninger";"2004M11";795;131;664
"Ruteflyvninger";"2004M12";710;106;604
"Ruteflyvninger";"2005M01";697;110;586
"Ruteflyvninger";"2005M02";701;106;595
"Ruteflyvninger";"2005M03";840;119;721
"Ruteflyvninger";"2005M04";861;129;732
"Ruteflyvninger";"2005M05";910;131;779
"Ruteflyvninger";"2005M06";1042;141;902
"Ruteflyvninger";"2005M07";950;107;843
"Ruteflyvninger";"2005M08";931;128;804
"Ruteflyvninger";"2005M09";1028;153;874
"Ruteflyvninger";"2005M10";993;144;849
"Ruteflyvninger";"2005M11";859;146;713
"Ruteflyvninger";"2005M12";768;123;645
"Ruteflyvninger";"2006M01";733;115;618
"Ruteflyvninger";"2006M02";770;122;648
"Ruteflyvninger";"2006M03";906;151;755
"Ruteflyvninger";"2006M04";901;125;776
"Ruteflyvninger";"2006M05";980;151;829
"Ruteflyvninger";"2006M06";1065;148;917
"Ruteflyvninger";"2006M07";998;114;884
"Ruteflyvninger";"2006M08";958;138;820
